category,target_entity_type,target_entity_id,target_entity_name,recommended_action,reason_bullets,formatted_evidence,potential_business_impact,business_impact_rationale,priority,implementation_effort,recommendation_id
Review ineffective promotions,Promotion,PROMO-004,Spring Weekend Flash 15%,Review and Immediately Restructure Ineffective Promotion: PROMO-004 ('Spring Weekend Flash 15%'),"['Multi-trap promotion failure: triggered 2 of 5 distinct SRS Promotion Traps', 'Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $263,683.15 in food loss (25,413 units wasted) due to kitchen overproduction and demand miscalculation.', 'Trap 4 (Discount-Only Patrons): Extreme customer churn: 79.9% of promo patrons never returned after the discount expired (only 20.1% 30-day post-campaign retention).']","Recommended Action:
  Review and Immediately Restructure Ineffective Promotion: PROMO-004 ('Spring Weekend Flash 15%')

Reason:
  * Multi-trap promotion failure: triggered 2 of 5 distinct SRS Promotion Traps
  * Trap 3 (Excess Wastage): Severe inventory spoilage during campaign: $263,683.15 in food loss (25,413 units wasted) due to kitchen overproduction and demand miscalculation.
  * Trap 4 (Discount-Only Patrons): Extreme customer churn: 79.9% of promo patrons never returned after the discount expired (only 20.1% 30-day post-campaign retention).",70000.0,"Halting profit margin dilution and excessive waste recovers ~$70,000.00 in net restaurant earnings.",High,Low,REC-053
Remove or redesign persistent Low Performers,Menu Item,ITEM-047,Dry-Aged Tomahawk Ribeye (36oz),Remove or Redesign Persistent Low Performer: ITEM-047 (Dry-Aged Tomahawk Ribeye (36oz)),"['Severe slow-moving status: SMI score of 0.861 (Critical Slow-Moving Tier)', 'Depressed order volume: only 677 orders placed across entire network', 'Excessive food wastage: 34.9% wastage rate ($20,102.00 spoiled)', 'Prolonged inter-purchase gap: average 1.2 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 46.2% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-047 (Dry-Aged Tomahawk Ribeye (36oz))

Reason:
  * Severe slow-moving status: SMI score of 0.861 (Critical Slow-Moving Tier)
  * Depressed order volume: only 677 orders placed across entire network
  * Excessive food wastage: 34.9% wastage rate ($20,102.00 spoiled)
  * Prolonged inter-purchase gap: average 1.2 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 46.2% (Q4 vs Q1)",38608.25,"Eliminating menu deadweight recovers $38,608.25 in waste and misallocated prep labor.",High,Medium,REC-040
Remove or redesign persistent Low Performers,Menu Item,ITEM-051,A5 Miyazaki Japanese Wagyu (4oz),Remove or Redesign Persistent Low Performer: ITEM-051 (A5 Miyazaki Japanese Wagyu (4oz)),"['Severe slow-moving status: SMI score of 0.898 (Critical Slow-Moving Tier)', 'Depressed order volume: only 457 orders placed across entire network', 'Excessive food wastage: 56.6% wastage rate ($27,808.00 spoiled)', 'Prolonged inter-purchase gap: average 1.4 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 35.8% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-051 (A5 Miyazaki Japanese Wagyu (4oz))

Reason:
  * Severe slow-moving status: SMI score of 0.898 (Critical Slow-Moving Tier)
  * Depressed order volume: only 457 orders placed across entire network
  * Excessive food wastage: 56.6% wastage rate ($27,808.00 spoiled)
  * Prolonged inter-purchase gap: average 1.4 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 35.8% (Q4 vs Q1)",37312.75,"Eliminating menu deadweight recovers $37,312.75 in waste and misallocated prep labor.",High,Medium,REC-036
Promote high-margin Hidden Opportunities,Menu Item,ITEM-135,Red Sangria Pitcher (House Wine),Promote Item ITEM-135 (Red Sangria Pitcher (House Wine)),"['High contribution margin: 78.6% ($22.80 per portion)', '3.46 average customer satisfaction rating', 'Low wastage rate: 3.8% (highly efficient kitchen preparation)', 'Low current order frequency: 7,727 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 5.0% repeat order rate']","Recommended Action:
  Promote Item ITEM-135 (Red Sangria Pitcher (House Wine))

Reason:
  * High contribution margin: 78.6% ($22.80 per portion)
  * 3.46 average customer satisfaction rating
  * Low wastage rate: 3.8% (highly efficient kitchen preparation)
  * Low current order frequency: 7,727 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 5.0% repeat order rate",35234.81,"Estimated 20% sales volume uplift yielding +$35,234.81 in annual gross profit.",High,Low,REC-009
Remove or redesign persistent Low Performers,Menu Item,ITEM-029,Truffle Lobster Roll,Remove or Redesign Persistent Low Performer: ITEM-029 (Truffle Lobster Roll),"['Severe slow-moving status: SMI score of 0.837 (Critical Slow-Moving Tier)', 'Depressed order volume: only 1,436 orders placed across entire network', 'Excessive food wastage: 43.3% wastage rate ($22,808.50 spoiled)', 'Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 51.1% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-029 (Truffle Lobster Roll)

Reason:
  * Severe slow-moving status: SMI score of 0.837 (Critical Slow-Moving Tier)
  * Depressed order volume: only 1,436 orders placed across entire network
  * Excessive food wastage: 43.3% wastage rate ($22,808.50 spoiled)
  * Prolonged inter-purchase gap: average 1.0 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 51.1% (Q4 vs Q1)",33304.3,"Eliminating menu deadweight recovers $33,304.30 in waste and misallocated prep labor.",High,Medium,REC-041
Remove or redesign persistent Low Performers,Menu Item,ITEM-060,Pepper-Crusted Bison Tenderloin,Remove or Redesign Persistent Low Performer: ITEM-060 (Pepper-Crusted Bison Tenderloin),"['Severe slow-moving status: SMI score of 0.827 (Critical Slow-Moving Tier)', 'Depressed order volume: only 794 orders placed across entire network', 'Excessive food wastage: 42.0% wastage rate ($20,725.00 spoiled)', 'Prolonged inter-purchase gap: average 1.1 days elapsed between customer orders', 'Negative trajectory: quarterly order demand contracted by 58.6% (Q4 vs Q1)']","Recommended Action:
  Remove or Redesign Persistent Low Performer: ITEM-060 (Pepper-Crusted Bison Tenderloin)

Reason:
  * Severe slow-moving status: SMI score of 0.827 (Critical Slow-Moving Tier)
  * Depressed order volume: only 794 orders placed across entire network
  * Excessive food wastage: 42.0% wastage rate ($20,725.00 spoiled)
  * Prolonged inter-purchase gap: average 1.1 days elapsed between customer orders
  * Negative trajectory: quarterly order demand contracted by 58.6% (Q4 vs Q1)",30686.5,"Eliminating menu deadweight recovers $30,686.50 in waste and misallocated prep labor.",High,Medium,REC-043
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-065,Jumbo Lump Crab Cakes (2pcs),Reduce Daily Preparation Quantity of Item ITEM-065 (Jumbo Lump Crab Cakes (2pcs)) by 25%,"['Severe inventory loss: $118,740.00 annual waste loss (7,916 portions discarded)', 'Excessive wastage rate: 42.0% of prepared portions discarded unserved', 'Short shelf-life constraint: 3 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,138 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-065 (Jumbo Lump Crab Cakes (2pcs)) by 25%

Reason:
  * Severe inventory loss: $118,740.00 annual waste loss (7,916 portions discarded)
  * Excessive wastage rate: 42.0% of prepared portions discarded unserved
  * Short shelf-life constraint: 3 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,138 recorded spoilage incidents across locations",29685.0,"Direct food cost savings of $29,685.00 by aligning prep buffers with actual consumer demand.",Medium,Medium,REC-017
Review pricing of price-sensitive dishes,Menu Item,ITEM-046,USDA Prime Center-Cut Filet Mignon (8oz),Review Pricing of Price-Sensitive Dish: ITEM-046 (USDA Prime Center-Cut Filet Mignon (8oz)) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.14', 'Historical demand drop: orders contracted by 5.7% following prior price adjustments', 'Substantial financial exposure: $351,744.00 annual item revenue at stake', 'Current gross profit margin: 49.0% at current base price of $48.00', 'Repeated price sensitivity signals: 0 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-046 (USDA Prime Center-Cut Filet Mignon (8oz)) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.14
  * Historical demand drop: orders contracted by 5.7% following prior price adjustments
  * Substantial financial exposure: $351,744.00 annual item revenue at stake
  * Current gross profit margin: 49.0% at current base price of $48.00
  * Repeated price sensitivity signals: 0 significant negative volume reactions on record",28139.52,"Protects $28,139.52 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-020
Review pricing of price-sensitive dishes,Menu Item,ITEM-032,Double Pepperoni Hot Honey Pizza,Review Pricing of Price-Sensitive Dish: ITEM-032 (Double Pepperoni Hot Honey Pizza) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 2.16', 'Historical demand drop: orders contracted by 7.9% following prior price adjustments', 'Substantial financial exposure: $344,914.00 annual item revenue at stake', 'Current gross profit margin: 25.4% at current base price of $18.50', 'Repeated price sensitivity signals: 1 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-032 (Double Pepperoni Hot Honey Pizza) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 2.16
  * Historical demand drop: orders contracted by 7.9% following prior price adjustments
  * Substantial financial exposure: $344,914.00 annual item revenue at stake
  * Current gross profit margin: 25.4% at current base price of $18.50
  * Repeated price sensitivity signals: 1 significant negative volume reactions on record",27593.12,"Protects $27,593.12 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-021
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-005,Wild Alaskan Salmon Tartare,Reduce Daily Preparation Quantity of Item ITEM-005 (Wild Alaskan Salmon Tartare) by 25%,"['Severe inventory loss: $105,995.50 annual waste loss (9,217 portions discarded)', 'Excessive wastage rate: 41.8% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,298 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-005 (Wild Alaskan Salmon Tartare) by 25%

Reason:
  * Severe inventory loss: $105,995.50 annual waste loss (9,217 portions discarded)
  * Excessive wastage rate: 41.8% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,298 recorded spoilage incidents across locations",26498.88,"Direct food cost savings of $26,498.88 by aligning prep buffers with actual consumer demand.",Medium,Medium,REC-019
Reduce preparation quantity of high-wastage dishes,Menu Item,ITEM-045,Linguine alle Vongole (Clams),Reduce Daily Preparation Quantity of Item ITEM-045 (Linguine alle Vongole (Clams)) by 24%,"['Severe inventory loss: $109,764.00 annual waste loss (9,147 portions discarded)', 'Excessive wastage rate: 40.1% of prepared portions discarded unserved', 'Short shelf-life constraint: 2 days before mandatory spoilage purge', 'Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor', 'Recurrent overproduction: 1,303 recorded spoilage incidents across locations']","Recommended Action:
  Reduce Daily Preparation Quantity of Item ITEM-045 (Linguine alle Vongole (Clams)) by 24%

Reason:
  * Severe inventory loss: $109,764.00 annual waste loss (9,147 portions discarded)
  * Excessive wastage rate: 40.1% of prepared portions discarded unserved
  * Short shelf-life constraint: 2 days before mandatory spoilage purge
  * Recipe complexity profile: HIGH_WASTAGE requiring expensive mise-en-place labor
  * Recurrent overproduction: 1,303 recorded spoilage incidents across locations",26343.36,"Direct food cost savings of $26,343.36 by aligning prep buffers with actual consumer demand.",Medium,Medium,REC-018
Review pricing of price-sensitive dishes,Menu Item,ITEM-063,Wild King Salmon Lemon Herb,Review Pricing of Price-Sensitive Dish: ITEM-063 (Wild King Salmon Lemon Herb) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 3.45', 'Historical demand drop: orders contracted by 17.3% following prior price adjustments', 'Substantial financial exposure: $312,664.00 annual item revenue at stake', 'Current gross profit margin: 52.4% at current base price of $34.00', 'Repeated price sensitivity signals: 1 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-063 (Wild King Salmon Lemon Herb) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 3.45
  * Historical demand drop: orders contracted by 17.3% following prior price adjustments
  * Substantial financial exposure: $312,664.00 annual item revenue at stake
  * Current gross profit margin: 52.4% at current base price of $34.00
  * Repeated price sensitivity signals: 1 significant negative volume reactions on record",25013.12,"Protects $25,013.12 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-022
Promote high-margin Hidden Opportunities,Menu Item,ITEM-092,Truffle Wild Mushroom Risotto,Promote Item ITEM-092 (Truffle Wild Mushroom Risotto),"['High contribution margin: 68.7% ($15.80 per portion)', '3.56 average customer satisfaction rating', 'Low wastage rate: 9.3% (highly efficient kitchen preparation)', 'Low current order frequency: 7,698 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 4.8% repeat order rate']","Recommended Action:
  Promote Item ITEM-092 (Truffle Wild Mushroom Risotto)

Reason:
  * High contribution margin: 68.7% ($15.80 per portion)
  * 3.56 average customer satisfaction rating
  * Low wastage rate: 9.3% (highly efficient kitchen preparation)
  * Low current order frequency: 7,698 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 4.8% repeat order rate",24327.22,"Estimated 20% sales volume uplift yielding +$24,327.22 in annual gross profit.",Medium,Low,REC-001
Review pricing of price-sensitive dishes,Menu Item,ITEM-068,Classic Fish & Chips Tartar,Review Pricing of Price-Sensitive Dish: ITEM-068 (Classic Fish & Chips Tartar) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.75', 'Historical demand drop: orders contracted by 7.9% following prior price adjustments', 'Substantial financial exposure: $302,588.63 annual item revenue at stake', 'Current gross profit margin: 27.5% at current base price of $19.99', 'Repeated price sensitivity signals: 1 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-068 (Classic Fish & Chips Tartar) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.75
  * Historical demand drop: orders contracted by 7.9% following prior price adjustments
  * Substantial financial exposure: $302,588.63 annual item revenue at stake
  * Current gross profit margin: 27.5% at current base price of $19.99
  * Repeated price sensitivity signals: 1 significant negative volume reactions on record",24207.09,"Protects $24,207.09 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-023
Review pricing of price-sensitive dishes,Menu Item,ITEM-031,Margherita Sourdough Pizza,Review Pricing of Price-Sensitive Dish: ITEM-031 (Margherita Sourdough Pizza) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.56', 'Historical demand drop: orders contracted by 13.9% following prior price adjustments', 'Substantial financial exposure: $299,572.65 annual item revenue at stake', 'Current gross profit margin: 24.9% at current base price of $15.99', 'Repeated price sensitivity signals: 2 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-031 (Margherita Sourdough Pizza) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.56
  * Historical demand drop: orders contracted by 13.9% following prior price adjustments
  * Substantial financial exposure: $299,572.65 annual item revenue at stake
  * Current gross profit margin: 24.9% at current base price of $15.99
  * Repeated price sensitivity signals: 2 significant negative volume reactions on record",23965.81,"Protects $23,965.81 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-024
Review pricing of price-sensitive dishes,Menu Item,ITEM-050,Slow-Braised Beef Short Ribs,Review Pricing of Price-Sensitive Dish: ITEM-050 (Slow-Braised Beef Short Ribs) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.11', 'Historical demand drop: orders contracted by 4.5% following prior price adjustments', 'Substantial financial exposure: $296,424.00 annual item revenue at stake', 'Current gross profit margin: 59.7% at current base price of $36.00', 'Repeated price sensitivity signals: 0 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-050 (Slow-Braised Beef Short Ribs) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.11
  * Historical demand drop: orders contracted by 4.5% following prior price adjustments
  * Substantial financial exposure: $296,424.00 annual item revenue at stake
  * Current gross profit margin: 59.7% at current base price of $36.00
  * Repeated price sensitivity signals: 0 significant negative volume reactions on record",23713.92,"Protects $23,713.92 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-025
Review pricing of price-sensitive dishes,Menu Item,ITEM-016,DineIQ Smash Double Cheeseburger,Review Pricing of Price-Sensitive Dish: ITEM-016 (DineIQ Smash Double Cheeseburger) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.76', 'Historical demand drop: orders contracted by 11.7% following prior price adjustments', 'Substantial financial exposure: $277,729.48 annual item revenue at stake', 'Current gross profit margin: 22.8% at current base price of $13.99', 'Repeated price sensitivity signals: 2 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-016 (DineIQ Smash Double Cheeseburger) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.76
  * Historical demand drop: orders contracted by 11.7% following prior price adjustments
  * Substantial financial exposure: $277,729.48 annual item revenue at stake
  * Current gross profit margin: 22.8% at current base price of $13.99
  * Repeated price sensitivity signals: 2 significant negative volume reactions on record",22218.36,"Protects $22,218.36 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-026
Review pricing of price-sensitive dishes,Menu Item,ITEM-048,Dry-Aged Bone-in NY Strip (16oz),Review Pricing of Price-Sensitive Dish: ITEM-048 (Dry-Aged Bone-in NY Strip (16oz)) (Avoid Unbundled Price Hikes),"['High price elasticity of demand: empirical elasticity |ε| = 1.07', 'Historical demand drop: orders contracted by -0.8% following prior price adjustments', 'Substantial financial exposure: $260,792.00 annual item revenue at stake', 'Current gross profit margin: 53.6% at current base price of $56.00', 'Repeated price sensitivity signals: 0 significant negative volume reactions on record']","Recommended Action:
  Review Pricing of Price-Sensitive Dish: ITEM-048 (Dry-Aged Bone-in NY Strip (16oz)) (Avoid Unbundled Price Hikes)

Reason:
  * High price elasticity of demand: empirical elasticity |ε| = 1.07
  * Historical demand drop: orders contracted by -0.8% following prior price adjustments
  * Substantial financial exposure: $260,792.00 annual item revenue at stake
  * Current gross profit margin: 53.6% at current base price of $56.00
  * Repeated price sensitivity signals: 0 significant negative volume reactions on record",20863.36,"Protects $20,863.36 in revenue from price-induced volume migration and customer defection.",Medium,Medium,REC-027
Promote high-margin Hidden Opportunities,Menu Item,ITEM-101,Thai Coconut Green Curry Tofu,Promote Item ITEM-101 (Thai Coconut Green Curry Tofu),"['High contribution margin: 69.4% ($12.50 per portion)', '3.73 average customer satisfaction rating', 'Low wastage rate: 7.5% (highly efficient kitchen preparation)', 'Low current order frequency: 8,270 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 6.1% repeat order rate']","Recommended Action:
  Promote Item ITEM-101 (Thai Coconut Green Curry Tofu)

Reason:
  * High contribution margin: 69.4% ($12.50 per portion)
  * 3.73 average customer satisfaction rating
  * Low wastage rate: 7.5% (highly efficient kitchen preparation)
  * Low current order frequency: 8,270 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 6.1% repeat order rate",20673.68,"Estimated 20% sales volume uplift yielding +$20,673.68 in annual gross profit.",Medium,Low,REC-003
Promote high-margin Hidden Opportunities,Menu Item,ITEM-036,Slow-Braised Wild Boar Pappardelle,Promote Item ITEM-036 (Slow-Braised Wild Boar Pappardelle),"['High contribution margin: 63.5% ($16.50 per portion)', '3.75 average customer satisfaction rating', 'Low wastage rate: 10.5% (highly efficient kitchen preparation)', 'Low current order frequency: 5,630 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 3.3% repeat order rate']","Recommended Action:
  Promote Item ITEM-036 (Slow-Braised Wild Boar Pappardelle)

Reason:
  * High contribution margin: 63.5% ($16.50 per portion)
  * 3.75 average customer satisfaction rating
  * Low wastage rate: 10.5% (highly efficient kitchen preparation)
  * Low current order frequency: 5,630 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 3.3% repeat order rate",18578.55,"Estimated 20% sales volume uplift yielding +$18,578.55 in annual gross profit.",Medium,Low,REC-007
Promote high-margin Hidden Opportunities,Menu Item,ITEM-094,Creamy Cashew Alfredo Tagliatelle,Promote Item ITEM-094 (Creamy Cashew Alfredo Tagliatelle),"['High contribution margin: 69.5% ($13.20 per portion)', '3.63 average customer satisfaction rating', 'Low wastage rate: 8.3% (highly efficient kitchen preparation)', 'Low current order frequency: 7,019 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 4.3% repeat order rate']","Recommended Action:
  Promote Item ITEM-094 (Creamy Cashew Alfredo Tagliatelle)

Reason:
  * High contribution margin: 69.5% ($13.20 per portion)
  * 3.63 average customer satisfaction rating
  * Low wastage rate: 8.3% (highly efficient kitchen preparation)
  * Low current order frequency: 7,019 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 4.3% repeat order rate",18529.18,"Estimated 20% sales volume uplift yielding +$18,529.18 in annual gross profit.",Medium,Low,REC-002
Promote high-margin Hidden Opportunities,Menu Item,ITEM-097,Jackfruit Smoky Carnitas Tacos,Promote Item ITEM-097 (Jackfruit Smoky Carnitas Tacos),"['High contribution margin: 67.1% ($10.40 per portion)', '3.82 average customer satisfaction rating', 'Low wastage rate: 7.7% (highly efficient kitchen preparation)', 'Low current order frequency: 8,319 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 5.5% repeat order rate']","Recommended Action:
  Promote Item ITEM-097 (Jackfruit Smoky Carnitas Tacos)

Reason:
  * High contribution margin: 67.1% ($10.40 per portion)
  * 3.82 average customer satisfaction rating
  * Low wastage rate: 7.7% (highly efficient kitchen preparation)
  * Low current order frequency: 8,319 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 5.5% repeat order rate",17304.35,"Estimated 20% sales volume uplift yielding +$17,304.35 in annual gross profit.",Medium,Low,REC-005
Promote high-margin Hidden Opportunities,Menu Item,ITEM-102,Mushroom & Walnut Bolognese,Promote Item ITEM-102 (Mushroom & Walnut Bolognese),"['High contribution margin: 69.7% ($12.90 per portion)', '3.55 average customer satisfaction rating', 'Low wastage rate: 9.7% (highly efficient kitchen preparation)', 'Low current order frequency: 6,663 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 4.0% repeat order rate']","Recommended Action:
  Promote Item ITEM-102 (Mushroom & Walnut Bolognese)

Reason:
  * High contribution margin: 69.7% ($12.90 per portion)
  * 3.55 average customer satisfaction rating
  * Low wastage rate: 9.7% (highly efficient kitchen preparation)
  * Low current order frequency: 6,663 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 4.0% repeat order rate",17190.61,"Estimated 20% sales volume uplift yielding +$17,190.61 in annual gross profit.",Medium,Low,REC-004
Promote high-margin Hidden Opportunities,Menu Item,ITEM-117,Artisanal Macaron Assortment (6pcs),Promote Item ITEM-117 (Artisanal Macaron Assortment (6pcs)),"['High contribution margin: 72.0% ($10.80 per portion)', '3.58 average customer satisfaction rating', 'Low wastage rate: 7.8% (highly efficient kitchen preparation)', 'Low current order frequency: 7,137 total units sold (under-promoted catalog asset)', 'Strong repeat purchase among existing buyers: 4.6% repeat order rate']","Recommended Action:
  Promote Item ITEM-117 (Artisanal Macaron Assortment (6pcs))

Reason:
  * High contribution margin: 72.0% ($10.80 per portion)
  * 3.58 average customer satisfaction rating
  * Low wastage rate: 7.8% (highly efficient kitchen preparation)
  * Low current order frequency: 7,137 total units sold (under-promoted catalog asset)
  * Strong repeat purchase among existing buyers: 4.6% repeat order rate",15415.92,"Estimated 20% sales volume uplift yielding +$15,415.92 in annual gross profit.",Medium,Low,REC-008
Bundle frequently purchased items,Bundle,BUNDLE-001,Yuzu Lavender Gin Tonic + Hibiscus Berry Botanical Fizz (Mocktail),Bundle Frequently Purchased Items: 'Yuzu Lavender Gin Tonic' + 'Hibiscus Berry Botanical Fizz (Mocktail)' (Frequently Paired Dishes),"['Strong association lift: 1.13x greater co-occurrence than random chance', 'High pairing confidence: 8.1% of patrons ordering Yuzu Lavender Gin Tonic also select Hibiscus Berry Botanical Fizz (Mocktail)', 'Network transaction support: present in 0.58% of all customer order baskets', 'Category synergy: pairs dishes across Signature Cocktails & Mocktails + Signature Cocktails & Mocktails', 'Commercial strategy: High behavioral affinity (Lift = 1.13, ordered together in 527 transactions).']","Recommended Action:
  Bundle Frequently Purchased Items: 'Yuzu Lavender Gin Tonic' + 'Hibiscus Berry Botanical Fizz (Mocktail)' (Frequently Paired Dishes)

Reason:
  * Strong association lift: 1.13x greater co-occurrence than random chance
  * High pairing confidence: 8.1% of patrons ordering Yuzu Lavender Gin Tonic also select Hibiscus Berry Botanical Fizz (Mocktail)
  * Network transaction support: present in 0.58% of all customer order baskets
  * Category synergy: pairs dishes across Signature Cocktails & Mocktails + Signature Cocktails & Mocktails
  * Commercial strategy: High behavioral affinity (Lift = 1.13, ordered together in 527 transactions).",14116.25,"Estimated basket size uplift generating +$14,116.25 in incremental combo revenue.",Medium,Low,REC-028
Bundle frequently purchased items,Bundle,BUNDLE-002,Creamy Cashew Alfredo Tagliatelle + Classic Madagascar Vanilla Bean Gelato,Bundle Frequently Purchased Items: 'Creamy Cashew Alfredo Tagliatelle' + 'Classic Madagascar Vanilla Bean Gelato' (Frequently Paired Dishes),"['Strong association lift: 1.12x greater co-occurrence than random chance', 'High pairing confidence: 11.8% of patrons ordering Creamy Cashew Alfredo Tagliatelle also select Classic Madagascar Vanilla Bean Gelato', 'Network transaction support: present in 0.63% of all customer order baskets', 'Category synergy: pairs dishes across Vegan & Plant-Based Creations + Handcrafted Desserts & Pastries', 'Commercial strategy: High behavioral affinity (Lift = 1.12, ordered together in 566 transactions).']","Recommended Action:
  Bundle Frequently Purchased Items: 'Creamy Cashew Alfredo Tagliatelle' + 'Classic Madagascar Vanilla Bean Gelato' (Frequently Paired Dishes)

Reason:
  * Strong association lift: 1.12x greater co-occurrence than random chance
  * High pairing confidence: 11.8% of patrons ordering Creamy Cashew Alfredo Tagliatelle also select Classic Madagascar Vanilla Bean Gelato
  * Network transaction support: present in 0.63% of all customer order baskets
  * Category synergy: pairs dishes across Vegan & Plant-Based Creations + Handcrafted Desserts & Pastries
  * Commercial strategy: High behavioral affinity (Lift = 1.12, ordered together in 566 transactions).",14058.75,"Estimated basket size uplift generating +$14,058.75 in incremental combo revenue.",Medium,Low,REC-029
